EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,BusinessTravel,DistanceFromHome,OverTime,MonthlyIncome,StockOptionLevel,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AttritionFlag,Attrition
2,41,Female,Married,Research & Development,Manufacturing Director,4,Life Sciences,Travel_Rarely,8,No,13792,1,12,0,9,4,0,9,2,2,2,4,2,3,1,Yes
6,46,Female,Married,Sales,Sales Executive,1,Medical,Travel_Rarely,1,No,5795,0,14,0,1,1,1,1,2,3,1,3,2,4,1,Yes
10,27,Female,Married,Sales,Sales Executive,4,Life Sciences,Travel_Rarely,4,Yes,6971,1,6,1,2,2,2,0,2,4,1,4,2,3,0,No
13,42,Female,Single,Sales,Sales Executive,3,Medical,Travel_Rarely,26,No,4773,1,13,9,0,0,0,0,2,4,1,2,3,3,0,No
14,31,Male,Married,Research & Development,Research Director,3,Marketing,Travel_Rarely,6,No,18778,2,9,0,0,0,0,0,0,4,3,3,3,3,0,No
15,40,Female,Single,Research & Development,Healthcare Representative,2,Medical,Travel_Rarely,13,No,5007,0,12,7,22,9,3,7,3,4,1,3,3,3,0,No
20,35,Male,Single,Human Resources,Human Resources,1,Life Sciences,Travel_Rarely,2,No,3548,1,1,4,3,3,0,3,1,1,4,3,3,3,1,Yes
22,29,Female,Divorced,Sales,Sales Representative,1,Human Resources,Travel_Rarely,15,No,1784,3,15,3,0,0,0,0,2,1,2,3,3,3,1,Yes
27,29,Male,Married,Research & Development,Laboratory Technician,3,Medical,Non-Travel,8,No,2536,1,9,1,11,1,5,3,5,2,4,3,2,3,1,Yes
28,33,Female,Divorced,Sales,Manager,3,Marketing,Travel_Rarely,11,No,16891,1,18,3,0,0,0,0,5,4,1,4,3,3,1,Yes
34,18,Male,Married,Sales,Manager,3,Medical,Non-Travel,1,No,18232,0,1,0,0,0,0,0,4,2,1,3,3,3,0,No
38,46,Male,Single,Research & Development,Healthcare Representative,2,Human Resources,Travel_Rarely,1,No,9216,1,7,0,1,0,1,1,4,4,4,3,2,3,0,No
39,45,Male,Divorced,Sales,Manager,2,Marketing,Travel_Rarely,1,No,17493,0,20,6,11,9,1,0,0,4,1,3,3,4,0,No
47,38,Male,Divorced,Sales,Sales Representative,2,Life Sciences,Travel_Frequently,17,Yes,2211,1,0,0,11,2,2,0,0,4,4,3,3,3,0,No
49,33,Female,Divorced,Research & Development,Research Scientist,1,Medical,Travel_Frequently,3,Yes,4296,0,4,1,15,14,13,0,3,4,1,3,2,3,0,No
51,49,Female,Married,Research & Development,Research Director,4,Medical,Travel_Rarely,1,Yes,13121,0,10,2,2,2,0,0,1,3,3,3,3,3,0,No
56,35,Female,Single,Sales,Sales Representative,4,Life Sciences,Travel_Rarely,6,Yes,3252,1,16,9,1,1,1,1,2,1,2,3,3,3,0,No
58,26,Female,Single,Research & Development,Laboratory Technician,3,Technical Degree,Non-Travel,6,No,5104,3,1,0,7,7,1,0,3,4,2,3,3,3,0,No
60,37,Male,Single,Human Resources,Human Resources,2,Other,Non-Travel,1,No,3244,2,15,1,7,0,4,1,0,3,3,3,3,3,0,No
63,25,Female,Divorced,Sales,Sales Executive,3,Marketing,Travel_Rarely,18,Yes,5325,0,8,0,7,4,6,2,3,1,3,4,2,4,1,Yes
64,22,Female,Divorced,Human Resources,Manager,4,Life Sciences,Travel_Frequently,20,No,17276,0,0,6,0,0,0,0,2,3,4,3,3,3,1,Yes
65,47,Male,Married,Research & Development,Research Director,2,Life Sciences,Travel_Rarely,1,No,16375,1,13,0,7,7,3,0,3,3,1,2,2,3,0,No
67,39,Female,Married,Sales,Sales Representative,3,Medical,Travel_Rarely,1,Yes,1728,0,18,2,0,0,0,0,3,4,3,3,2,3,0,No
69,48,Female,Single,Sales,Manager,3,Life Sciences,Travel_Frequently,17,No,18737,3,5,2,7,3,0,1,3,2,2,3,3,3,0,No
71,28,Male,Married,Human Resources,Human Resources,3,Marketing,Non-Travel,4,No,2776,2,19,6,10,2,3,2,6,4,1,3,4,3,1,Yes
76,41,Male,Married,Sales,Sales Representative,1,Life Sciences,Non-Travel,1,No,3738,2,4,2,2,0,2,2,3,1,3,3,3,3,0,No
78,34,Male,Divorced,Sales,Sales Executive,4,Marketing,Travel_Rarely,23,Yes,7571,0,7,1,0,0,0,0,1,4,4,3,4,3,0,No
86,43,Female,Divorced,Sales,Manager,3,Life Sciences,Travel_Rarely,10,Yes,17321,0,2,2,19,0,3,13,3,3,4,3,2,3,0,No
90,37,Female,Single,Human Resources,Manager,4,Medical,Travel_Rarely,12,No,15285,0,4,3,14,1,6,4,1,2,4,3,3,3,0,No
91,49,Male,Married,Research & Development,Research Scientist,3,Marketing,Non-Travel,9,No,6272,0,37,3,11,6,8,1,2,1,2,3,3,3,0,No
92,30,Male,Single,Human Resources,Manager,3,Medical,Travel_Rarely,1,Yes,16644,0,0,1,6,3,0,0,2,3,4,3,3,3,0,No
94,40,Female,Single,Research & Development,Research Scientist,4,Life Sciences,Travel_Rarely,6,No,4792,1,18,3,0,0,0,0,3,4,4,3,4,4,0,No
95,37,Male,Married,Research & Development,Research Scientist,2,Life Sciences,Travel_Rarely,9,Yes,4522,0,11,3,5,1,5,0,4,4,4,2,3,3,1,Yes
100,40,Male,Married,Human Resources,Manager,4,Medical,Travel_Rarely,29,Yes,15811,2,10,4,0,0,0,0,3,1,2,3,4,3,1,Yes
107,32,Male,Single,Research & Development,Research Director,3,Life Sciences,Travel_Rarely,11,Yes,15020,1,13,2,5,3,2,0,1,1,3,2,4,3,0,No
